year,month
1895.0,1.0
1895.0,2.0
1895.0,3.0
1895.0,4.0
1895.0,5.0
1895.0,6.0
1895.0,7.0
1895.0,8.0
1895.0,9.0
1895.0,10.0
1895.0,11.0
1895.0,12.0
1896.0,1.0
1896.0,2.0
1896.0,3.0
1896.0,4.0
1896.0,5.0
1896.0,6.0
1896.0,7.0
1896.0,8.0
1896.0,9.0
1896.0,10.0
1896.0,11.0
1896.0,12.0
1897.0,1.0
1897.0,2.0
1897.0,3.0
1897.0,4.0
1897.0,5.0
1897.0,6.0
1897.0,7.0
1897.0,8.0
1897.0,9.0
1897.0,10.0
1897.0,11.0
1897.0,12.0
1898.0,1.0
1898.0,2.0
1898.0,3.0
1898.0,4.0
1898.0,5.0
1898.0,6.0
1898.0,7.0
1898.0,8.0
1898.0,9.0
1898.0,10.0
1898.0,11.0
1898.0,12.0
1899.0,1.0
1899.0,2.0
1899.0,3.0
1899.0,4.0
1899.0,5.0
1899.0,6.0
1899.0,7.0
1899.0,8.0
1899.0,9.0
1899.0,10.0
1899.0,11.0
1899.0,12.0
1900.0,1.0
1900.0,2.0
1900.0,3.0
1900.0,4.0
1900.0,5.0
1900.0,6.0
1900.0,7.0
1900.0,8.0
1900.0,9.0
1900.0,10.0
1900.0,11.0
1900.0,12.0
1901.0,1.0
1901.0,2.0
1901.0,3.0
1901.0,4.0
1901.0,5.0
1901.0,6.0
1901.0,7.0
1901.0,8.0
1901.0,9.0
1901.0,10.0
1901.0,11.0
1901.0,12.0
1902.0,1.0
1902.0,2.0
1902.0,3.0
1902.0,4.0
1902.0,5.0
1902.0,6.0
1902.0,7.0
1902.0,8.0
1902.0,9.0
1902.0,10.0
1902.0,11.0
1902.0,12.0
1903.0,1.0
1903.0,2.0
1903.0,3.0
1903.0,4.0
1903.0,5.0
1903.0,6.0
1903.0,7.0
1903.0,8.0
1903.0,9.0
1903.0,10.0
1903.0,11.0
1903.0,12.0
1904.0,1.0
1904.0,2.0
1904.0,3.0
1904.0,4.0
1904.0,5.0
1904.0,6.0
1904.0,7.0
1904.0,8.0
1904.0,9.0
1904.0,10.0
1904.0,11.0
1904.0,12.0
1905.0,1.0
1905.0,2.0
1905.0,3.0
1905.0,4.0
1905.0,5.0
1905.0,6.0
1905.0,7.0
1905.0,8.0
1905.0,9.0
1905.0,10.0
1905.0,11.0
1905.0,12.0
1906.0,1.0
1906.0,2.0
1906.0,3.0
1906.0,4.0
1906.0,5.0
1906.0,6.0
1906.0,7.0
1906.0,8.0
1906.0,9.0
1906.0,10.0
1906.0,11.0
1906.0,12.0
1907.0,1.0
1907.0,2.0
1907.0,3.0
1907.0,4.0
1907.0,5.0
1907.0,6.0
1907.0,7.0
1907.0,8.0
1907.0,9.0
1907.0,10.0
1907.0,11.0
1907.0,12.0
1908.0,1.0
1908.0,2.0
1908.0,3.0
1908.0,4.0
1908.0,5.0
1908.0,6.0
1908.0,7.0
1908.0,8.0
1908.0,9.0
1908.0,10.0
1908.0,11.0
1908.0,12.0
1909.0,1.0
1909.0,2.0
1909.0,3.0
1909.0,4.0
1909.0,5.0
1909.0,6.0
1909.0,7.0
1909.0,8.0
1909.0,9.0
1909.0,10.0
1909.0,11.0
1909.0,12.0
1910.0,1.0
1910.0,2.0
1910.0,3.0
1910.0,4.0
1910.0,5.0
1910.0,6.0
1910.0,7.0
1910.0,8.0
1910.0,9.0
1910.0,10.0
1910.0,11.0
1910.0,12.0
1911.0,1.0
1911.0,2.0
1911.0,3.0
1911.0,4.0
1911.0,5.0
1911.0,6.0
1911.0,7.0
1911.0,8.0
1911.0,9.0
1911.0,10.0
1911.0,11.0
1911.0,12.0
1912.0,1.0
1912.0,2.0
1912.0,3.0
1912.0,4.0
1912.0,5.0
1912.0,6.0
1912.0,7.0
1912.0,8.0
1912.0,9.0
1912.0,10.0
1912.0,11.0
1912.0,12.0
1913.0,1.0
1913.0,2.0
1913.0,3.0
1913.0,4.0
1913.0,5.0
1913.0,6.0
1913.0,7.0
1913.0,8.0
1913.0,9.0
1913.0,10.0
1913.0,11.0
1913.0,12.0
1914.0,1.0
1914.0,2.0
1914.0,3.0
1914.0,4.0
1914.0,5.0
1914.0,6.0
1914.0,7.0
1914.0,8.0
1914.0,9.0
1914.0,10.0
1914.0,11.0
1914.0,12.0
1915.0,1.0
1915.0,2.0
1915.0,3.0
1915.0,4.0
1915.0,5.0
1915.0,6.0
1915.0,7.0
1915.0,8.0
1915.0,9.0
1915.0,10.0
1915.0,11.0
1915.0,12.0
1916.0,1.0
1916.0,2.0
1916.0,3.0
1916.0,5.0
1916.0,6.0
1916.0,7.0
1916.0,8.0
1916.0,9.0
1916.0,10.0
1916.0,11.0
1916.0,12.0
1917.0,1.0
1917.0,2.0
1917.0,3.0
1917.0,4.0
1917.0,5.0
1917.0,6.0
1917.0,7.0
1917.0,8.0
1917.0,9.0
1917.0,10.0
1917.0,11.0
1917.0,12.0
1918.0,1.0
1918.0,2.0
1918.0,3.0
1918.0,4.0
1918.0,5.0
1918.0,6.0
1918.0,7.0
1918.0,8.0
1918.0,9.0
1918.0,10.0
1918.0,11.0
1918.0,12.0
1919.0,1.0
1919.0,2.0
1919.0,3.0
1919.0,4.0
1919.0,5.0
1919.0,6.0
1919.0,7.0
1919.0,8.0
1919.0,10.0
1919.0,11.0
1919.0,12.0
1920.0,1.0
1920.0,2.0
1920.0,3.0
1920.0,4.0
1920.0,5.0
1920.0,6.0
1920.0,7.0
1920.0,8.0
1920.0,9.0
1920.0,10.0
1920.0,11.0
1920.0,12.0
1921.0,1.0
1921.0,2.0
1921.0,3.0
1921.0,4.0
1921.0,6.0
1921.0,7.0
1921.0,8.0
1921.0,9.0
1921.0,11.0
1921.0,12.0
1922.0,1.0
1922.0,2.0
1922.0,3.0
1922.0,4.0
1922.0,5.0
1922.0,6.0
1922.0,7.0
1922.0,8.0
1922.0,9.0
1922.0,10.0
1922.0,11.0
1922.0,12.0
1923.0,1.0
1923.0,2.0
1923.0,4.0
1923.0,5.0
1923.0,6.0
1923.0,7.0
1923.0,8.0
1923.0,9.0
1923.0,11.0
1923.0,12.0
1924.0,1.0
1924.0,2.0
1924.0,3.0
1924.0,4.0
1924.0,5.0
1924.0,6.0
1924.0,7.0
1924.0,8.0
1924.0,9.0
1924.0,11.0
1924.0,12.0
1925.0,1.0
1925.0,2.0
1925.0,3.0
1925.0,4.0
1925.0,5.0
