year,month,station
1941.0,1.0,aberporth
1941.0,2.0,aberporth
1941.0,3.0,aberporth
1941.0,4.0,aberporth
1941.0,5.0,aberporth
1941.0,6.0,aberporth
1941.0,7.0,aberporth
1941.0,8.0,aberporth
1941.0,9.0,aberporth
1941.0,10.0,aberporth
1941.0,11.0,aberporth
1941.0,12.0,aberporth
1942.0,1.0,aberporth
1942.0,2.0,aberporth
1942.0,3.0,aberporth
1942.0,4.0,aberporth
1942.0,5.0,aberporth
1942.0,6.0,aberporth
1942.0,7.0,aberporth
1942.0,8.0,aberporth
1942.0,9.0,aberporth
1942.0,10.0,aberporth
1942.0,11.0,aberporth
1942.0,12.0,aberporth
1943.0,1.0,aberporth
1943.0,2.0,aberporth
1943.0,3.0,aberporth
1943.0,4.0,aberporth
1943.0,5.0,aberporth
1943.0,6.0,aberporth
1943.0,7.0,aberporth
1943.0,8.0,aberporth
1943.0,9.0,aberporth
1943.0,10.0,aberporth
1943.0,11.0,aberporth
1943.0,12.0,aberporth
1944.0,1.0,aberporth
1944.0,2.0,aberporth
1944.0,3.0,aberporth
1944.0,4.0,aberporth
1944.0,5.0,aberporth
1944.0,6.0,aberporth
1944.0,7.0,aberporth
1944.0,8.0,aberporth
1944.0,9.0,aberporth
1944.0,10.0,aberporth
1944.0,11.0,aberporth
1944.0,12.0,aberporth
1945.0,1.0,aberporth
1945.0,2.0,aberporth
1945.0,3.0,aberporth
1945.0,4.0,aberporth
1945.0,5.0,aberporth
1945.0,6.0,aberporth
1945.0,7.0,aberporth
1945.0,8.0,aberporth
1945.0,9.0,aberporth
1945.0,10.0,aberporth
1945.0,11.0,aberporth
1945.0,12.0,aberporth
1946.0,1.0,aberporth
1946.0,2.0,aberporth
1946.0,3.0,aberporth
1946.0,4.0,aberporth
1946.0,5.0,aberporth
1946.0,6.0,aberporth
1946.0,7.0,aberporth
1946.0,8.0,aberporth
1946.0,9.0,aberporth
1946.0,10.0,aberporth
1946.0,11.0,aberporth
1946.0,12.0,aberporth
1947.0,1.0,aberporth
1947.0,2.0,aberporth
1947.0,3.0,aberporth
1947.0,4.0,aberporth
1947.0,5.0,aberporth
1947.0,6.0,aberporth
1947.0,7.0,aberporth
1947.0,8.0,aberporth
1947.0,9.0,aberporth
1947.0,10.0,aberporth
1947.0,11.0,aberporth
1947.0,12.0,aberporth
1948.0,1.0,aberporth
1948.0,2.0,aberporth
1948.0,3.0,aberporth
1948.0,4.0,aberporth
1948.0,5.0,aberporth
1948.0,6.0,aberporth
1948.0,7.0,aberporth
1948.0,8.0,aberporth
1948.0,9.0,aberporth
1948.0,10.0,aberporth
1948.0,11.0,aberporth
1948.0,12.0,aberporth
1949.0,1.0,aberporth
1949.0,2.0,aberporth
1949.0,3.0,aberporth
1949.0,4.0,aberporth
1949.0,5.0,aberporth
1949.0,6.0,aberporth
1949.0,7.0,aberporth
